Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
Meret,Napoli,34,6.32,5.71,0,25,2,0,0,0,0,0,0,1
Svilar,Roma,38,6.32,5.38,0,35,0,0,0,0,0,1,0,0
Milinkovic-Savic V.,Torino,37,6.3,5.45,0,42,4,0,0,0,0,3,0,0
De Gea,Fiorentina,35,6.34,5.41,0,38,2,0,0,0,0,1,0,0
Carnesecchi,Atalanta,34,6.34,5.32,0,34,0,0,0,0,0,1,0,0
Sommer,Inter,33,6.18,5.3,0,32,1,0,0,0,0,0,0,0
Di Gregorio,Juventus,33,6.15,5.18,0,32,0,0,0,0,0,0,0,0
Maignan,Milan,37,6.18,5.14,0,41,1,0,0,0,0,1,0,0
Caprile,Cagliari,22,6.2,5.16,0,23,0,0,0,0,0,0,0,0
Skorupski,Bologna,27,6.17,5.04,0,33,1,0,0,0,0,1,0,0
Leali,Genoa,29,6.16,5.1,0,31,1,0,0,0,0,1,0,1
Mandas,Lazio,9,6.28,5.5,0,7,0,0,0,0,0,0,0,0
Falcone,Lecce,38,6.26,4.79,0,58,1,0,0,0,0,2,0,0
Suzuki,Parma,37,6.22,4.76,0,53,0,0,0,0,0,0,1,0
Vasquez D.,Empoli,32,6.02,4.67,0,45,1,0,0,0,0,2,0,0
Turati,Monza,30,6.3,4.75,0,52,2,0,0,0,0,1,0,0
Butez,Como,18,6.22,5.22,0,18,0,0,0,0,0,0,0,0
Martinez Jo.,Inter,5,6.3,5.7,0,3,0,0,0,0,0,0,0,0
Okoye,Udinese,25,6.1,4.4,0,40,0,0,0,0,0,1,0,1
Montipo',Verona,36,6.19,4.44,0,64,1,0,0,0,0,0,0,1
Stankovic F.,Venezia,15,6.6,5.23,0,23,1,0,0,0,0,1,0,0
Radu I.,Venezia,15,6.47,5.23,0,18,0,0,0,0,0,1,0,0
Provedel,Lazio,29,5.98,4.53,0,42,0,0,0,0,0,0,0,0
Ravaglia F.,Bologna,12,6,4.83,0,14,0,0,0,0,0,0,0,0
Musso,Atalanta,1,6,6,0,0,0,0,0,0,0,0,0,0
Sava,Udinese,12,6.04,4.67,0,16,0,0,0,0,0,1,0,0
Reina,Como,12,5.75,4.5,0,14,0,0,0,0,0,0,1,0
Sommariva,Genoa,1,7,6,0,1,0,0,0,0,0,0,0,0
Audero,Como,8,6,3.75,0,18,0,0,0,0,0,0,0,0
Terracciano,Fiorentina,3,6.17,5.17,0,3,0,0,0,0,0,0,0,0
Perin,Juventus,5,6.1,5.5,0,3,0,0,0,0,0,0,0,0
Sportiello,Milan,2,6,5,0,2,0,0,0,0,0,0,0,0
Joronen,Venezia,8,5.5,3.38,0,15,0,0,0,0,0,0,0,1
Perilli,Verona,2,6,5,0,2,0,0,0,0,0,0,0,0
Pizzignacco,Monza,9,6.06,3.94,0,17,0,0,0,0,0,0,0,1
Siegrist,Genoa,2,6.5,5.5,0,2,0,0,0,0,0,0,0,0
Rossi F.,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagnolini,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
Radunovic,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
Scuffet,Napoli,14,5.89,4.18,0,24,0,0,0,0,0,0,0,0
Sherri,Cagliari,7,5.86,4.29,0,11,0,0,0,0,0,0,0,0
Vigorito,Como,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiorra,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Perisan,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Christensen O.,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli T.,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
Gollini,Roma,7,5.86,4.07,0,15,1,0,0,0,0,1,0,0
Di Gennaro,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinsoglio,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
Furlanetto,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruchtl,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
Samooja,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
Nava,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
Cragno,Monza,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorrentino A.,Monza,0,0,0,0,0,0,0,0,0,0,0,0,0
Contini,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Chichizola,Parma,1,5,2,0,3,0,0,0,0,0,0,0,0
Corvi,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
Rinaldi,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
Boer,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
Paleari,Torino,1,6.5,3.5,0,3,0,0,0,0,0,0,0,0
Popa,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
Padelli,Udinese,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0
Bertinato,Venezia,0,0,0,0,0,0,0,0,0,0,0,0,0
Grandi,Venezia,0,0,0,0,0,0,0,0,0,0,0,0,0
Berardi A.,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
Brancolini,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciocci,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
Torriani,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
Donnarumma An.,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
Silvestri,Empoli,5,5.7,3.5,0,11,0,0,0,0,0,0,0,0
Mazza,Monza,0,0,0,0,0,0,0,0,0,0,0,0,0
Marin Re.,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
Rui Patricio,Atalanta,3,6.17,5.17,0,3,0,0,0,0,0,0,0,0
Plizzari,Venezia,0,0,0,0,0,0,0,0,0,0,0,0,0
Seghetti,Empoli,1,6.5,3.5,0,3,0,0,0,0,0,0,0,0
Piana,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
Selvik,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcone,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
Stolz,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
Calligaris,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
De Marzi,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimarco,Inter,32,6.31,6.86,4,0,0,0,0,0,7,3,0,0
Dumfries,Inter,29,6.19,6.91,7,0,0,0,0,0,2,4,0,0
Zortea,Cagliari,35,6.07,6.6,6,0,0,0,0,0,2,3,0,0
Carlos Augusto,Inter,28,6.2,6.61,3,0,0,0,0,0,3,1,0,0
Bastoni,Inter,32,6.42,6.55,1,0,0,0,0,0,4,4,1,0
Gosens,Fiorentina,32,6.12,6.59,5,0,0,0,0,0,3,6,0,0
Di Lorenzo,Napoli,37,6.15,6.36,3,0,0,0,0,0,2,6,0,0
Zappacosta,Atalanta,30,5.98,6.4,4,0,0,0,0,0,2,3,0,0
Martin,Genoa,36,6.17,6.32,0,0,0,0,0,0,8,5,0,0
Cambiaso,Juventus,32,6.09,6.31,2,0,0,0,0,0,3,4,0,0
Mancini,Roma,37,6.18,6.26,2,0,0,0,0,0,1,8,0,0
Angelino,Roma,38,6.14,6.32,2,0,0,0,0,0,1,1,0,0
Dodo',Fiorentina,35,6.19,6.21,0,0,0,0,0,0,5,8,0,0
Hernandez T.,Milan,33,6.02,6.29,4,0,0,1,0,1,3,4,1,0
Valeri,Parma,34,5.94,6.25,2,0,0,1,1,0,5,1,0,0
Bisseck,Inter,27,6,6.33,3,0,0,0,0,0,2,4,0,0
Darmian,Inter,26,6.08,6.37,3,0,0,0,0,0,2,3,0,1
Tavares N.,Lazio,23,6.28,6.5,0,0,0,0,0,0,7,2,1,0
Birindelli,Monza,20,5.95,6.35,3,0,0,0,0,0,0,2,0,0
Rrahmani,Napoli,38,6.14,6.17,1,0,0,0,0,0,1,2,0,1
Delprato,Parma,34,6.03,6.21,4,2,0,0,0,0,0,8,0,0
Bellanova,Atalanta,35,6.04,6.26,0,0,0,0,0,0,9,3,0,0
Luperto,Cagliari,36,6,6.08,1,0,0,0,0,0,2,4,0,0
Vasquez,Genoa,36,6.06,6.18,3,0,0,0,0,0,0,9,0,0
De Vrij,Inter,22,6.18,6.55,3,0,0,0,0,0,0,2,0,0
Marusic,Lazio,31,5.85,6.16,4,0,0,0,0,0,0,1,0,1
Dorgu,Lecce,21,5.83,6.12,3,0,0,0,0,0,1,2,1,1
Kyriakopoulos,Monza,34,5.9,6.06,2,0,0,0,0,0,4,5,0,1
Buongiorno,Napoli,22,6.36,6.45,1,0,0,0,0,0,0,2,0,0
Spinazzola,Napoli,23,6.07,6.22,1,0,0,0,0,0,1,1,0,0
Gigot,Lazio,10,6.2,6.7,2,0,0,0,0,0,0,2,0,0
Miranda J.,Bologna,29,6.05,6.16,0,0,0,0,0,0,6,4,1,0
Augello,Cagliari,37,5.95,6.09,0,0,0,0,0,0,7,3,0,0
Ismajli,Empoli,29,6.17,6.12,0,0,0,0,0,0,0,3,0,0
Cacace,Empoli,29,5.79,6.02,2,0,0,0,0,0,3,6,0,0
Pezzella Giu.,Empoli,35,6.03,6.04,0,0,0,0,0,0,4,7,0,0
Parisi,Fiorentina,20,6,6.22,2,0,0,0,0,0,0,3,0,0
Gatti,Juventus,28,6.14,6.21,1,0,0,0,0,0,0,2,0,0
Baschirotto,Lecce,38,5.86,5.97,2,0,0,0,0,0,0,3,0,0
Gabbia,Milan,25,6.04,6.2,2,0,0,0,0,0,0,4,0,0
N'Dicka,Roma,38,6.05,6.03,0,0,0,0,0,0,0,2,0,0
Mina,Cagliari,31,6.06,6.06,1,0,0,0,0,0,0,4,1,0
Ranieri L.,Fiorentina,36,5.92,5.96,1,0,0,0,0,0,2,7,0,0
De Winter,Genoa,24,5.85,6.1,3,0,0,0,0,0,0,6,0,0
Gila,Lazio,32,6.05,5.95,1,0,0,0,0,0,0,8,0,1
Gaspar K.,Lecce,24,6.17,6.15,0,0,0,0,0,0,1,3,0,0
Kalulu,Juventus,28,6.02,6.05,1,0,0,0,0,0,0,2,1,0
Olivera,Napoli,30,6.08,6.05,0,0,0,0,0,0,1,4,0,0
Lazaro,Torino,31,5.98,6.08,0,0,0,0,0,0,6,6,0,0
Kamara H.,Udinese,30,5.93,6.03,1,0,0,0,0,0,4,6,1,0
Idzes,Venezia,35,5.96,5.97,1,0,0,0,0,0,0,5,0,0
Pavlovic,Milan,22,5.91,6.11,2,0,0,0,0,0,1,3,1,0
Solet,Udinese,19,6.16,6.29,1,0,0,0,0,0,1,1,1,0
Djimsiti,Atalanta,33,5.88,5.88,1,0,0,0,0,0,2,6,0,1
Ruggeri,Atalanta,26,6,6.08,0,0,0,0,0,0,3,2,0,0
Beukema,Bologna,34,5.93,5.94,0,0,0,0,0,0,1,1,0,0
Zappa,Cagliari,36,5.75,5.86,2,0,0,0,0,0,0,4,0,0
Viti,Empoli,30,6.02,6.07,1,0,0,0,0,0,0,3,0,0
Acerbi,Inter,21,6.07,6.12,0,0,0,0,0,0,1,0,0,0
Bremer,Juventus,6,6.5,6.42,0,0,0,0,0,0,0,1,0,0
Romagnoli,Lazio,32,5.84,5.91,2,0,0,0,0,0,0,4,2,0
Pellegrini Lu.,Lazio,19,6.08,6.11,0,0,0,0,0,0,3,5,0,0
Valenti,Parma,20,5.85,5.85,1,0,0,0,0,0,0,4,1,0
Vojvoda,Como,27,5.96,6.04,1,0,0,0,0,0,2,6,0,0
Masina,Torino,24,5.96,6.12,1,0,0,0,0,0,3,5,0,0
Bijol,Udinese,34,5.99,5.88,1,0,0,0,0,0,2,11,1,1
Perez N.,Udinese,2,6.25,6.25,0,0,0,0,0,0,0,0,0,0
Tchatchoua,Verona,36,5.76,5.9,2,0,0,0,0,0,3,6,1,0
Savona,Juventus,27,5.89,6.02,2,0,0,0,0,0,0,5,0,0
Cuadrado,Atalanta,20,6.08,6.1,0,0,0,0,0,0,2,3,0,0
Maripan,Torino,28,5.93,5.93,1,0,0,0,0,0,0,4,1,0
Walker,Milan,10,5.95,5.9,0,0,0,0,0,0,0,1,0,0
Holm,Bologna,16,5.94,6.12,1,0,0,0,0,0,1,3,0,0
Lykogiannis,Bologna,16,6,6.16,0,0,0,0,0,0,4,3,0,0
Varane,Como,0,0,0,0,0,0,0,0,0,0,0,0,0
Comuzzo,Fiorentina,28,5.91,5.93,1,0,0,0,0,0,0,5,0,0
Martinez Quarta,Fiorentina,7,5.86,6.21,1,0,0,0,0,0,0,1,0,0
Biraghi,Torino,21,5.83,5.86,1,0,0,0,0,0,0,1,0,1
Sabelli,Genoa,30,5.87,5.9,0,0,0,0,0,0,2,3,0,0
Pavard,Inter,22,6.05,6,0,0,0,0,0,0,1,4,0,0
Danilo,Juventus,8,5.44,5.44,0,0,0,0,0,0,1,2,0,0
Tomori,Milan,18,5.86,5.81,0,0,0,0,0,0,1,2,1,0
Smalling,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
Coppola D.,Verona,33,5.8,5.86,2,0,0,0,0,0,1,10,0,0
Haps,Venezia,22,5.86,5.98,1,0,0,0,0,0,1,3,0,0
Jimenez A.,Milan,21,5.95,5.83,0,0,0,0,0,0,0,6,0,0
Kolasinac,Atalanta,23,6.13,5.98,0,0,0,0,0,0,2,7,0,1
Hateboer,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
Obert,Cagliari,19,5.95,6.05,1,0,0,0,0,0,1,4,0,0
Goldaniga,Como,30,5.83,5.73,1,0,0,0,0,0,0,10,1,0
Zanoli,Genoa,27,5.91,5.96,1,0,0,0,0,0,0,3,0,0
Gendrey,Lecce,2,5.25,5.25,0,0,0,0,0,0,0,0,0,0
Mari',Fiorentina,32,5.84,5.75,0,0,0,0,0,0,0,4,1,0
Coco,Torino,32,5.86,5.83,2,0,0,0,0,0,0,10,0,1
Kabasele,Udinese,16,5.84,6.22,2,0,0,0,0,0,0,0,0,0
Ehizibue,Udinese,31,5.85,5.81,0,0,0,0,0,0,1,5,0,0
Emerson Royal,Milan,17,5.62,5.47,0,0,0,0,0,0,0,5,0,0
Leoni,Parma,17,5.85,5.88,1,0,0,0,0,0,0,3,1,0
Kempf,Como,31,5.85,5.76,0,0,0,0,0,0,0,4,1,0
Bradaric,Verona,27,5.72,5.72,1,0,0,0,0,0,0,6,0,0
Candè,Venezia,17,5.76,5.82,1,0,0,0,0,0,0,4,0,0
Kelly L.,Juventus,12,5.67,5.62,0,0,0,0,0,0,0,1,0,0
Hien,Atalanta,29,5.95,5.78,0,0,0,0,0,0,0,10,0,0
Lucumi',Bologna,32,5.83,5.7,0,0,0,0,0,0,1,8,1,0
De Silvestri,Bologna,16,5.91,6.06,1,0,0,0,0,0,0,1,0,0
Moreno Alb.,Como,23,5.96,5.87,0,0,0,0,0,0,0,4,0,0
Goglichidze,Empoli,33,5.76,5.71,0,0,0,0,0,0,1,3,1,0
Pongracic,Fiorentina,17,5.85,5.65,0,0,0,0,0,0,0,1,1,1
Bani,Genoa,20,5.92,5.85,0,0,0,0,0,0,0,3,0,0
Rugani,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazzari,Lazio,22,5.89,5.86,0,0,0,0,0,0,1,3,0,0
Hysaj,Lazio,8,5.88,6.12,0,0,0,0,0,0,3,0,1,0
Gallo,Lecce,31,5.79,5.65,0,0,0,0,0,0,2,3,1,2
Celik,Roma,30,5.78,5.77,0,0,0,0,0,0,2,5,0,0
Zemura,Udinese,21,5.81,6,1,0,0,0,0,0,2,2,0,0
Palomino,Cagliari,17,5.76,5.85,1,0,0,0,0,0,0,3,0,0
Guilbert,Lecce,31,5.79,5.71,0,0,0,0,0,0,1,3,2,0
Schingtienne,Venezia,15,5.7,5.63,0,0,0,0,0,0,0,2,0,0
Kossounou,Atalanta,17,5.94,5.91,0,0,0,0,0,0,0,1,0,0
Van Der Brempt,Como,18,5.94,5.92,0,0,0,0,0,0,1,3,0,0
Alberto Costa,Juventus,8,6,5.81,0,0,0,0,0,0,0,3,0,0
Rensch,Roma,8,6.06,6.19,0,0,0,0,0,0,1,0,0,0
Veiga D.,Lecce,11,5.73,5.73,0,0,0,0,0,0,0,0,0,0
Valle,Como,13,5.81,5.73,0,0,0,0,0,0,0,2,0,0
Bakker,Atalanta,1,6,6,0,0,0,0,0,0,0,0,0,0
Di Pardo,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
Dossena,Como,23,5.8,5.85,0,0,0,0,0,0,2,0,1,0
Walukiewicz,Torino,28,5.73,5.64,0,0,0,0,0,0,0,6,0,0
Ebuehi,Empoli,3,6.17,6.17,0,0,0,0,0,0,0,0,0,0
Stojanovic,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Vogliacco,Parma,20,5.7,5.78,2,0,0,0,0,0,0,5,0,1
De Sciglio,Empoli,12,5.79,6.04,1,0,0,0,0,0,0,0,0,0
Calabria,Bologna,13,5.88,5.85,0,0,0,0,0,0,1,3,0,0
Izzo,Monza,28,5.75,5.68,1,0,0,0,0,0,1,12,0,0
Carboni A.,Monza,26,5.63,5.62,0,0,0,0,0,0,2,5,0,0
Pereira P.,Monza,33,5.64,5.65,1,0,0,0,0,0,2,10,0,0
